GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Admin Service,com.fns.grivet.controller,ClassRegistryController,228,0,10,0,42,0,12,0,7,0
Grivet Admin Service,com.fns.grivet.controller,SchemaController,59,0,2,0,15,0,5,0,4,0
Grivet Admin Service,com.fns.grivet.service,SchemaService,109,0,8,0,29,0,8,0,4,0
Grivet Admin Service,com.fns.grivet.service,ClassRegistryService,332,0,12,0,69,0,12,0,6,0
Grivet Admin Service,com.fns.grivet,AdminInit,5,3,0,0,2,1,1,1,1,1
