GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Query Service,com.fns.grivet.controller,NamedQueryController,147,0,12,0,31,0,14,0,8,0
Grivet Query Service,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},18,0,0,0,3,0,2,0,2,0
Grivet Query Service,com.fns.grivet.service,NamedQueryService,333,0,26,0,76,0,23,0,9,0
Grivet Query Service,com.fns.grivet,QueryInit,5,3,0,0,2,1,1,1,1,1
