GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Query,com.fns.grivet.controller,NamedQueryController,0,147,3,9,0,30,3,11,0,8
Grivet Query,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},0,24,0,0,0,3,0,2,0,2
Grivet Query,com.fns.grivet.service,NamedQueryService.new Object() {...},2,17,0,0,0,1,0,1,0,1
Grivet Query,com.fns.grivet.service,NamedQueryService,22,316,7,19,4,71,7,16,0,9
