GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Persistence Service,com.fns.grivet.controller,EntityController,52,311,6,12,8,47,5,12,0,8
Grivet Persistence Service,com.fns.grivet.controller,SchemaValidationExceptionHandler,20,7,0,0,4,2,1,2,1,2
Grivet Persistence Service,com.fns.grivet.service,SchemaValidationException,14,0,0,0,6,0,3,0,3,0
Grivet Persistence Service,com.fns.grivet.service,SchemaValidator,14,80,0,0,2,15,0,2,0,2
Grivet Persistence Service,com.fns.grivet.service,EntityService,39,548,4,18,6,107,5,17,1,10
Grivet Persistence Service,com.fns.grivet.service,PersistenceService,233,0,4,0,44,0,7,0,4,0
