GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Ingest,com.fns.grivet.controller,IngestController,158,14,6,0,24,5,5,1,2,1
Grivet Ingest,com.fns.grivet.service,IngestService,34,11,0,0,7,4,1,1,1,1
Grivet Ingest,com.fns.grivet.config,IngestSourceConfig,3,0,0,0,1,0,1,0,1,0
Grivet Ingest,com.fns.grivet.config,IngestSourceConfig.EventSource,0,8,0,0,0,2,0,2,0,2
Grivet Ingest,com.fns.grivet,IngestInit,5,3,0,0,2,1,1,1,1,1
