GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Persistence Base,com.fns.grivet.controller,EntityController,52,311,6,12,8,47,5,12,0,8
Grivet Persistence Base,com.fns.grivet.controller,SchemaValidationExceptionHandler,27,0,0,0,6,0,3,0,3,0
Grivet Persistence Base,com.fns.grivet.service,SchemaValidationException,14,0,0,0,6,0,3,0,3,0
Grivet Persistence Base,com.fns.grivet.service,SchemaValidator,94,0,0,0,17,0,2,0,2,0
Grivet Persistence Base,com.fns.grivet.service,EntityService,586,0,22,0,111,0,22,0,11,0
Grivet Persistence Base,com.fns.grivet.service,PersistenceService,232,0,4,0,43,0,7,0,4,0
